service,nta_code,pickup_date,count,avg_ppl_per_acre,median_median_income,median_median_age,avg_households,avg_population
uber,BK25,2014-05-09,1.0,64.4,47882.0,35.0,15496.0,44316.0
uber,BK25,2014-09-20,1.0,64.4,47882.0,35.0,15496.0,44316.0
uber,BK26,2014-09-05,1.0,40.2,35550.0,40.0,11264.0,29436.0
uber,BK28,2014-07-26,1.0,82.8,46137.0,38.0,30027.0,88727.0
uber,BK30,2014-06-13,1.0,61.8,54752.0,39.0,15100.0,42419.0
uber,BK30,2014-09-27,1.0,61.8,54752.0,39.0,15100.0,42419.0
uber,BK31,2014-06-20,1.0,50.5,57980.0,39.0,34991.0,78607.0
uber,BK31,2014-08-05,1.0,50.5,57980.0,39.0,34991.0,78607.0
uber,BK31,2014-08-21,1.0,50.5,57980.0,39.0,34991.0,78607.0
uber,BK31,2014-09-18,1.0,50.5,57980.0,39.0,34991.0,78607.0
uber,BK31,2014-09-26,1.0,50.5,57980.0,39.0,34991.0,78607.0
uber,BK31,2014-09-27,1.0,50.5,57980.0,39.0,34991.0,78607.0
uber,BK32,2014-04-11,1.0,43.8,44165.0,32.0,16697.0,54041.0
uber,BK32,2014-04-20,1.0,43.8,44165.0,32.0,16697.0,54041.0
uber,BK32,2014-06-15,1.0,43.8,44165.0,32.0,16697.0,54041.0
uber,BK32,2014-07-27,2.0,43.8,44165.0,32.0,16697.0,54041.0
uber,BK32,2014-08-29,1.0,43.8,44165.0,32.0,16697.0,54041.0
uber,BK32,2014-08-30,1.0,43.8,44165.0,32.0,16697.0,54041.0
uber,BK32,2014-09-04,1.0,43.8,44165.0,32.0,16697.0,54041.0
uber,BK32,2014-09-06,2.0,43.8,44165.0,32.0,16697.0,54041.0
uber,BK33,2014-04-02,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-04-05,2.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-04-16,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-04-23,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-04-27,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-05-18,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-05-23,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-06-07,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-06-09,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-06-13,2.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-06-16,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-06-18,2.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-06-19,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-06-28,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-07-07,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-07-10,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-07-11,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-07-17,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-07-22,3.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-07-26,2.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-08-01,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-08-02,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-08-03,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-08-07,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-08-17,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-08-22,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-08-28,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-08-29,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-09-01,2.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-09-09,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-09-18,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-09-19,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-09-20,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-09-22,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK33,2014-09-29,1.0,36.9,85496.0,35.0,17786.0,38353.0
uber,BK34,2014-07-06,1.0,116.3,35636.0,32.0,20290.0,72340.0
uber,BK35,2014-07-20,1.0,88.1,37082.0,33.0,24825.0,63504.0
uber,BK35,2014-07-26,1.0,88.1,37082.0,33.0,24825.0,63504.0
uber,BK35,2014-08-21,1.0,88.1,37082.0,33.0,24825.0,63504.0
uber,BK35,2014-08-29,1.0,88.1,37082.0,33.0,24825.0,63504.0
uber,BK35,2014-08-30,2.0,88.1,37082.0,33.0,24825.0,63504.0
uber,BK35,2014-09-14,1.0,88.1,37082.0,33.0,24825.0,63504.0
uber,BK35,2014-09-27,1.0,88.1,37082.0,33.0,24825.0,63504.0
uber,BK37,2014-04-01,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-04-04,2.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-04-06,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-04-13,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-04-26,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-04-29,2.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-05-02,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-05-07,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-05-08,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-05-09,2.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-05-16,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-05-24,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-05-29,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-06-03,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-06-17,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-06-18,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-06-19,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-06-25,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-06-28,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-06-29,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-06-30,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-01,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-04,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-08,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-11,2.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-15,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-16,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-19,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-23,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-24,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-29,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-07-30,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-01,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-05,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-09,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-14,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-15,2.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-16,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-18,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-20,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-21,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-24,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-25,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-30,2.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-08-31,2.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-09-06,2.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-09-18,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-09-20,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-09-21,2.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-09-23,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-09-26,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-09-27,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-09-28,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK37,2014-09-29,1.0,70.4,101784.0,35.0,31226.0,67649.0
uber,BK38,2014-04-03,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-04-08,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-04-14,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-05-01,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-05-13,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-05-16,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-05-29,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-06-01,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-06-08,2.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-06-12,2.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-06-14,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-06-16,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-06-19,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-06-26,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-07-02,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-07-08,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-07-10,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-07-11,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-07-18,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-07-23,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-07-27,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-08-01,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-08-05,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-08-16,2.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-08-17,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-08-21,2.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-08-22,2.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-08-24,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-08-28,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-02,2.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-07,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-09,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-10,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-13,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-19,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-20,2.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-23,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-24,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-25,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-26,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-27,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK38,2014-09-28,1.0,53.6,84945.0,35.0,16263.0,34495.0
uber,BK40,2014-05-10,1.0,65.1,82297.0,37.0,9372.0,20988.0
uber,BK40,2014-06-26,1.0,65.1,82297.0,37.0,9372.0,20988.0
uber,BK40,2014-06-28,1.0,65.1,82297.0,37.0,9372.0,20988.0
uber,BK40,2014-09-15,1.0,65.1,82297.0,37.0,9372.0,20988.0
uber,BK42,2014-05-29,1.0,101.9,45332.0,34.0,37722.0,105804.0
uber,BK42,2014-06-27,1.0,101.9,45332.0,34.0,37722.0,105804.0
uber,BK42,2014-07-18,1.0,101.9,45332.0,34.0,37722.0,105804.0
uber,BK42,2014-09-13,1.0,101.9,45332.0,34.0,37722.0,105804.0
uber,BK42,2014-09-19,1.0,101.9,45332.0,34.0,37722.0,105804.0
uber,BK42,2014-09-24,1.0,101.9,45332.0,34.0,37722.0,105804.0
uber,BK43,2014-04-20,1.0,64.3,43687.0,35.0,18672.0,52835.0
uber,BK43,2014-09-09,1.0,64.3,43687.0,35.0,18672.0,52835.0
uber,BK44,2014-07-15,1.0,61.9,55840.0,41.0,15103.0,38917.0
uber,BK44,2014-09-13,1.0,61.9,55840.0,41.0,15103.0,38917.0
uber,BK46,2014-06-12,1.0,49.6,50540.0,31.0,6720.0,20299.0
uber,BK58,2014-08-24,1.0,51.8,64519.0,37.0,23386.0,64762.0
uber,BK60,2014-04-05,1.0,92.9,42462.0,37.0,25936.0,67459.0
uber,BK60,2014-06-23,2.0,92.9,42462.0,37.0,25936.0,67459.0
uber,BK60,2014-08-17,1.0,92.9,42462.0,37.0,25936.0,67459.0
uber,BK60,2014-08-21,1.0,92.9,42462.0,37.0,25936.0,67459.0
uber,BK60,2014-08-22,1.0,92.9,42462.0,37.0,25936.0,67459.0
uber,BK60,2014-09-02,1.0,92.9,42462.0,37.0,25936.0,67459.0
uber,BK60,2014-09-20,1.0,92.9,42462.0,37.0,25936.0,67459.0
uber,BK60,2014-09-27,1.0,92.9,42462.0,37.0,25936.0,67459.0
uber,BK61,2014-04-03,2.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-04-12,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-04-30,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-06-05,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-06-13,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-06-27,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-07-06,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-07-09,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-07-10,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-07-12,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-07-17,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-07-30,2.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-08-07,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-08-16,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-08-19,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-08-29,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-08-30,2.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-09-03,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-09-06,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-09-09,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-09-14,2.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK61,2014-09-20,1.0,87.0,37104.0,33.0,41641.0,103169.0
uber,BK63,2014-07-21,1.0,108.1,41745.0,33.0,14696.0,39670.0
uber,BK63,2014-07-22,1.0,108.1,41745.0,33.0,14696.0,39670.0
uber,BK63,2014-07-30,1.0,108.1,41745.0,33.0,14696.0,39670.0
uber,BK63,2014-08-10,1.0,108.1,41745.0,33.0,14696.0,39670.0
uber,BK63,2014-08-17,1.0,108.1,41745.0,33.0,14696.0,39670.0
uber,BK63,2014-08-20,1.0,108.1,41745.0,33.0,14696.0,39670.0
uber,BK63,2014-09-27,1.0,108.1,41745.0,33.0,14696.0,39670.0
uber,BK64,2014-04-02,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-04-16,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-05-10,2.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-05-31,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-06-28,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-07-21,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-07-31,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-08-07,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-08-08,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-08-18,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-09-13,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK64,2014-09-24,1.0,83.6,84323.0,35.0,9334.0,19849.0
uber,BK68,2014-05-09,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-05-12,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-06-02,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-06-07,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-06-13,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-06-16,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-06-24,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-07-22,2.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-07-25,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-07-26,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-08-13,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-08-24,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-08-28,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-09-07,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-09-10,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-09-24,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK68,2014-09-25,1.0,68.9,61990.0,34.0,12062.0,26079.0
uber,BK69,2014-04-01,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-05-03,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-05-10,2.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-05-21,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-05-28,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-06-07,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-06-21,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-07-03,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-07-09,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-07-15,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-07-27,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-07-29,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-08-03,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-08-11,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-08-21,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-08-29,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-09-04,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-09-06,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK69,2014-09-22,1.0,73.9,66282.0,33.0,15178.0,34791.0
uber,BK72,2014-06-15,1.0,123.7,21502.0,20.0,8328.0,32926.0
uber,BK73,2014-04-01,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-04-05,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-04-09,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-04-15,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-04-18,3.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-04-19,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-04-29,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-04-30,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-01,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-03,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-08,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-09,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-10,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-17,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-20,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-23,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-25,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-26,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-29,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-05-31,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-01,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-03,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-09,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-10,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-14,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-16,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-19,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-20,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-22,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-28,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-06-29,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-01,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-07,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-09,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-10,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-11,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-12,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-13,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-16,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-17,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-18,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-19,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-20,3.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-22,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-25,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-07-31,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-08-01,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-08-04,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-08-05,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-08-06,2.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-08-07,1.0,69.6,61381.0,31.0,21475.0,45774.0
uber,BK73,2014-08-08,1.0,69.6,61381.0,31.0,21475.0,45774.0
